"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"irs.gov","https://www.irs.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","",""
"irsauctions.gov","http://www.irsauctions.gov","executive","Department of the Treasury","Yes","No","","","",""
"irssales.gov","http://www.irssales.gov","executive","Department of the Treasury","Yes","No","","","",""
"irsvideos.gov","http://www.irsvideos.gov","executive","Department of the Treasury","No","No","","","",""
"ise.gov","http://www.ise.gov","executive","Director of National Intelligence","No","Yes","No","No","",""
"isitdoneyet.gov","http://www.isitdoneyet.gov","executive","Department of Agriculture","Yes","Yes","No","No","",""
"isotope.gov","https://isotope.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"isotopes.gov","https://isotopes.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"itap.gov","http://www.itap.gov","executive","Department of Agriculture","No","Yes","No","Yes","",""
"itdashboard.gov","http://itdashboard.gov","executive","Executive Office of the President","No","Yes","No","Yes","Yes",""
"itis.gov","https://www.itis.gov","executive","Smithsonian Institution","No","Yes","Yes","No","",""
"itrd.gov","http://www.itrd.gov","executive","Networking Information Technology Research and Development (NITRD)","Yes","No","","","",""
"its.gov","https://www.its.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"jamesmadison.gov","http://www.jamesmadison.gov","executive","James Madison Memorial Fellowship Foundation","No","No","","","",""
"jccs.gov","http://www.jccs.gov","executive","Department of Defense","No","Yes","No","No","",""
"jct.gov","https://www.jct.gov","legislative","The Legislative Branch (Congress)","No","Yes","Yes","No","",""
"jem.gov","https://jem.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"jewishheritage.gov","http://jewishheritage.gov","legislative","Library of Congress","No","No","","","",""
"jewishheritagemonth.gov","http://jewishheritagemonth.gov","legislative","Library of Congress","No","No","","","",""
"jimmycarterlibrary.gov","http://jimmycarterlibrary.gov","executive","National Archives and Records Administration","No","Yes","No","No","",""
"jobcorps.gov","http://www.jobcorps.gov","executive","Department of Labor","No","Yes","No","No","",""
"joiningforces.gov","http://www.joiningforces.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"judicialconference.gov","http://www.judicialconference.gov","judicial","U.S Courts","Yes","No","","","",""
"justice.gov","https://www.justice.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
