"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"uscis.gov","https://www.uscis.gov","executive","Department of Homeland Security","No","Yes","Yes","Yes","",""
"uscode.gov","https://www.uscode.gov","legislative","Government Printing Office","Yes","Yes","Yes","Yes","",""
"uscongress.gov","http://www.uscongress.gov","legislative","Library of Congress","Yes","No","","","",""
"usconsulate.gov","http://www.usconsulate.gov","executive","Department of State","Yes","No","","","",""
"uscourts.gov","http://www.uscourts.gov","judicial","U.S Courts","No","No","","","",""
"uscp.gov","https://www.uscp.gov","legislative","U.S. Capitol Police","No","Yes","Yes","No","",""
"uscurrency.gov","https://uscurrency.gov","executive","Federal Reserve System","No","Yes","Yes","Yes","Yes",""
"usda.gov","http://www.usda.gov","executive","Department of Agriculture","No","No","","","",""
"usdebitcard.gov","http://usdebitcard.gov","executive","Department of the Treasury","No","No","","","",""
"usdigitalservice.gov","http://www.usdigitalservice.gov","executive","Executive Office of the President","Yes","Yes","Yes","No","",""
"usdoj.gov","http://www.usdoj.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","",""
"usds.gov","https://www.usds.gov","executive","Executive Office of the President","No","Yes","Yes","No","",""
"usembassy-mexico.gov","http://www.usembassy-mexico.gov","executive","Department of State","No","No","","","",""
"usembassy.gov","https://www.usembassy.gov","executive","Department of State","No","Yes","Yes","No","",""
"userra.gov","http://www.userra.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready",""
"usgcrp.gov","http://www.usgcrp.gov","executive","United Stated Global Change Research Program","Yes","No","","","",""
"usgeo.gov","http://www.usgeo.gov","executive","National Aeronautics and Space Administration","Yes","No","","","",""
"usgovernment.gov","http://www.usgovernment.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"usgovernmentmanual.gov","http://www.usgovernmentmanual.gov","legislative","Government Printing Office","No","No","","","",""
"usgs.gov","https://www.usgs.gov","executive","Department of the Interior","No","Yes","Yes","No","",""
"usich.gov","https://www.usich.gov","executive","US Interagency Council on Homelessness","No","Yes","Yes","No","",""
"usint.gov","http://usint.gov","executive","Department of State","Yes","No","","","",""
"usip.gov","http://www.usip.gov","executive","General Services Administration","Yes","No","","","",""
"usitc.gov","https://usitc.gov","executive","U. S. International Trade Commission","No","Yes","Yes","Yes","",""
"usmarshals.gov","https://www.usmarshals.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"usmint.gov","https://www.usmint.gov","executive","Department of the Treasury","No","Yes","Yes","No","",""
"usmission.gov","http://www.usmission.gov","executive","Department of State","Yes","No","","","",""
"usphs.gov","http://usphs.gov","executive","Department of Health And Human Services","No","No","","","",""
"uspis.gov","http://www.uspis.gov","executive","U. S. Postal Service","No","No","","","",""
"usprobation.gov","http://www.usprobation.gov","judicial","U.S Courts","Yes","No","","","",""
"usps.gov","https://www.usps.gov","executive","U. S. Postal Service","Yes","Yes","Yes","No","",""
"uspsinnovates.gov","http://www.uspsinnovates.gov","executive","U. S. Postal Service","Yes","No","","","",""
"uspsoig.gov","https://uspsoig.gov","executive","U.S. Postal Service, Office of Inspector General","No","Yes","Yes","Yes","Yes",""
"uspto.gov","https://www.uspto.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"ussc.gov","http://www.ussc.gov","judicial","U.S Courts","No","No","","","",""
"ussm.gov","https://www.ussm.gov","executive","General Services Administration","No","Yes","Yes","Yes","Ready",""
"ustaxcourt.gov","http://ustaxcourt.gov","judicial","U.S Courts","No","Yes","No","No","",""
"ustda.gov","https://www.ustda.gov","executive","U.S. Trade and Development Agency","No","Yes","Yes","No","",""
"ustr.gov","http://ustr.gov","executive","Executive Office of the President","No","Yes","No","No","Yes",""
"ustreas.gov","http://www.ustreas.gov","executive","Department of the Treasury","Yes","No","","","",""
"usvpp.gov","http://www.usvpp.gov","executive","Department of State","Yes","No","","","",""
"utahfireinfo.gov","http://www.utahfireinfo.gov","executive","Department of the Interior","No","No","","","",""
"va.gov","http://va.gov","executive","Department of Veterans Affairs","No","No","","","",""
"vaccines.gov","http://www.vaccines.gov","executive","Department of Health And Human Services","No","Yes","No","No","",""
"vcf.gov","https://www.vcf.gov","executive","Department of Justice","No","Yes","Yes","Yes","Ready",""
"vef.gov","http://vef.gov","executive","General Services Administration","No","Yes","No","No","",""
"vehiclehistory.gov","https://www.vehiclehistory.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"vetbiz.gov","http://www.vetbiz.gov","executive","Department of Veterans Affairs","No","No","","","",""
"veterans.gov","http://veterans.gov","executive","Department of Labor","No","No","","","",""
"vets.gov","https://www.vets.gov","executive","Department of Veterans Affairs","No","Yes","Yes","Yes","Ready",""
"visitthecapital.gov","http://www.visitthecapital.gov","executive","Architect of the Capitol","Yes","No","","","",""
"visitthecapitol.gov","https://www.visitthecapitol.gov","executive","Architect of the Capitol","No","Yes","Yes","No","",""
"vista.gov","http://www.vista.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"vistacampus.gov","https://www.vistacampus.gov","executive","Corporation for National & Community Service","No","Yes","Yes","No","",""
"voa.gov","http://www.voa.gov","executive","International Broadcasting Bureau","Yes","No","","","",""
"volcano.gov","http://www.volcano.gov","executive","Department of the Interior","Yes","No","","","",""
"volunteer.gov","https://www.volunteer.gov","executive","Department of the Interior","No","Yes","Yes","No","",""
"volunteeringinamerica.gov","https://www.volunteeringinamerica.gov","executive","Corporation for National & Community Service","No","Yes","Yes","No","Ready",""
"vote.gov","https://vote.gov","executive","General Services Administration","No","Yes","Yes","Yes","",""
"votebymail.gov","http://www.votebymail.gov","executive","General Services Administration","Yes","No","","","",""
"wapa.gov","https://www.wapa.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"wartimecontracting.gov","http://www.wartimecontracting.gov","executive","National Archives and Records Administration","Yes","No","","","",""
"watermonitor.gov","http://watermonitor.gov","executive","Department of the Interior","No","No","","","",""
"wdol.gov","http://wdol.gov","executive","Department of Commerce","No","No","","","",""
"weather.gov","http://www.weather.gov","executive","Department of Commerce","No","Yes","No","No","",""
"webharvest.gov","https://webharvest.gov","executive","National Archives and Records Administration","No","Yes","Yes","No","",""
"welcometousa.gov","http://www.welcometousa.gov","legislative","Government Printing Office","Yes","No","","","",""
"wh.gov","http://www.wh.gov","executive","Executive Office of the President","Yes","Yes","Yes","No","",""
"whistleblower.gov","https://whistleblower.gov","executive","Commodity Futures Trading Commission","No","Yes","Yes","No","",""
"whistleblowers.gov","http://whistleblowers.gov","executive","Department of Labor","No","No","","","",""
"whitehouse.gov","https://www.whitehouse.gov","executive","Executive Office of the President","No","Yes","Yes","Yes","Yes",""
"whitehouseconferenceonaging.gov","https://whitehouseconferenceonaging.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"whitehousedrugpolicy.gov","http://www.whitehousedrugpolicy.gov","executive","Executive Office of the President","Yes","Yes","No","No","",""
"wildfire.gov","http://www.wildfire.gov","executive","Department of Agriculture","No","No","","","",""
"wildlifeadaptationstrategy.gov","https://www.wildlifeadaptationstrategy.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"wizard.gov","http://wizard.gov","executive","Department of the Treasury","No","No","","","",""
"wlci.gov","https://www.wlci.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"womenbiz.gov","http://www.womenbiz.gov","executive","Small Business Administration","Yes","No","","","",""
"womenfarmerclaims.gov","https://www.womenfarmerclaims.gov","executive","Department of Agriculture","No","Yes","Yes","No","",""
"womenshealth.gov","https://www.womenshealth.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","",""
"womenshistorymonth.gov","http://womenshistorymonth.gov","legislative","Library of Congress","No","No","","","",""
"workplace.gov","http://www.workplace.gov","executive","Department of the Treasury","Yes","Yes","No","No","",""
"worldwar1centennial.gov","http://www.worldwar1centennial.gov","executive","The United States World War One Centennial Commission","Yes","No","","","",""
"wrp.gov","https://www.wrp.gov","executive","Department of Labor","No","Yes","Yes","No","",""
"ymp.gov","http://www.ymp.gov","executive","Department of Energy","Yes","No","","","",""
"youth.gov","http://youth.gov","executive","Department of Health And Human Services","No","No","","","",""
"youthgo.gov","https://youthgo.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"youthrules.gov","http://www.youthrules.gov","executive","Department of Labor","No","No","","","",""
